チケットID,チケット名,運営会社,全運営会社,会社数,联名フラグ,地域コード,地域,地域(中),跨地域,発売タイプコード,発売タイプ,発売タイプ(中),媒体,紙チケット,スマホチケット,発売状況コード,発売状況図例,発売開始,発売終了,大人料金,小人料金,最低料金,料金,有効期間,有効日数,発売期間,利用期間,フリー区間,区間地図,利用可能設備,制限事項,制限数,発売箇所,問合せ,備考,公式URL,公式リンク,拡張項目,詳細URL,保存ファイル,表示順,取得日時,タイトル,発売数量,申込期間,申込場所,元索引
nagaden05,ながでん鉄道・バス2DAYフリーきっぷ,長野電鉄,['長野電鉄'],1,FALSE,hokusinetu,北信越,北信越,['北信越'],kikan,期間限定タイプ,期间限定,['実券'],TRUE,FALSE,period,2026/4/1  〜11/29,2026/4/1,2026/11/29,5000,2500,2500,"大人：5,000円／小人：2,500円",２日間,2,2026年4月1日〜2026年11月29日,2026年4月1日〜2026年11月30日,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/nagaden05.gif'],,['特急(自由席)乗車可'],1,"長野,市役所前,権堂,善光寺下,本郷,桐原,信濃吉田,朝陽,附属中学前,柳原,村山,日野,須坂,小布施,都住,桜沢,延徳,信州中野,湯田中の各駅自動券売機",長野電鉄・鉄道事業部運輸課 TEL:026-248-6000,,https://www.nagaden-net.co.jp/info/ticket,"[{'text': '長野電鉄', 'url': 'https://www.nagaden-net.co.jp/info/ticket'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/nagaden05.htm,nagaden05.htm,29,2026-08-10 01:30:50.424840+00:00,ながでん鉄道・バス２ＤＡＹフリーきっぷ,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/nagaden05.htm
nagaden07,ホリデーフリーチケット,長野電鉄,['長野電鉄'],1,FALSE,hokusinetu,北信越,北信越,['北信越'],kikan,期間限定タイプ,期间限定,['実券'],TRUE,FALSE,period,2026/4/1  〜11/30,2026/4/1,2026/11/30,,,620,"中高生：1,240円 小学生：620円",１日間,1,利用当日,"2026年4月1日〜2026年11月30日の土休日 
 2026年7月15日〜2026年8月20日",,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/naganodentetu.gif'],,['中高生に限る。乗車時に学生証の提示が必要 ' ' 特急料金(自由席)を含む'],2,"長野,市役所前,権堂,善光寺下,本郷,桐原,信濃吉田,朝陽,附属中学前,柳原,村山,日野,須坂,小布施,都住,桜沢,延徳,信州中野,湯田中の各駅自動券売機",長野電鉄・鉄道事業部運輸課 TEL:026-248-6000,,https://www.nagaden-net.co.jp/info/ticket,"[{'text': '長野電鉄', 'url': 'https://www.nagaden-net.co.jp/info/ticket'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/nagaden07.htm,nagaden07.htm,30,2026-08-10 01:30:50.424840+00:00,ホリデーフリーチケット,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/nagaden07.htm
matuden01,上高地線電車わくわく一日フリー乗車券,アルピコ交通,['アルピコ交通'],1,FALSE,hokusinetu,北信越,北信越,['北信越'],tunen,通年発売タイプ,全年发售,['実券' 'デジタル'],TRUE,TRUE,on_sale,発売中,,,1420,710,710,"大人：1,420円／小人：710円",１日,1,通年,通年,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/matuden.gif'],,[],0,"松本(JRの自動券売機),北新・松本大学前,新村,森口,波田,新島々 
 Web専用ページ",アルピコ交通新島々駅 TEL:0263-87-3166,,https://www.alpico.co.jp/traffic/ticket/6/,"[{'text': 'アルピコ交通', 'url': 'https://www.alpico.co.jp/traffic/ticket/6/'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/matuden01.htm,matuden01.htm,31,2026-08-10 01:30:50.424840+00:00,上高地線電車 わくわく一日フリー乗車券,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/matuden01.htm
matuden91,新島々駅鉄道神社例大祭記念 上高地線電車わくわく一日フリー乗車券,アルピコ交通,['アルピコ交通'],1,FALSE,hokusinetu,北信越,北信越,['北信越'],kikan,期間限定タイプ,期间限定,['デジタル'],FALSE,TRUE,ended,終了,,,1000,300,300,"大人：1,000円／小人：300円",１日,1,2026年1月26日〜2026年2月7日,2026年2月7日,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/matuden.gif'],,[],0,Web専用ページ,アルピコ交通新島々駅 TEL:0263-87-3166,,https://www.alpico.co.jp/traffic/news/1506/,"[{'text': 'アルピコ交通', 'url': 'https://www.alpico.co.jp/traffic/news/1506/'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/matuden91.htm,matuden91.htm,32,2026-08-10 01:30:50.424840+00:00,新島々駅鉄道神社例大祭記念 上高地線電車わくわく一日フリー乗車券,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/matuden91.htm
matuden92,上高地線ふるさと鉄道まつりWebフリー乗車券,アルピコ交通,['アルピコ交通'],1,FALSE,hokusinetu,北信越,北信越,['北信越'],kikan,期間限定タイプ,期间限定,['デジタル'],FALSE,TRUE,ended,終了,,,1000,300,300,"大人：1,000円／小人：300円",１日,1,2026年3月3日〜2026年3月22日,2026年3月22日,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/matuden.gif'],,[],0,Web専用ページ,アルピコ交通新島々駅 TEL:0263-87-3166,,https://www.alpico.co.jp/traffic/news/1551/,"[{'text': 'アルピコ交通', 'url': 'https://www.alpico.co.jp/traffic/news/1551/'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/matuden92.htm,matuden92.htm,33,2026-08-10 01:30:50.424840+00:00,上高地線ふるさと鉄道まつりWebフリー乗車券,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/matuden92.htm
matuden94,上高地線 謎解きイベント専用きっぷ,アルピコ交通,['アルピコ交通'],1,FALSE,hokusinetu,北信越,北信越,['北信越'],kikan,期間限定タイプ,期间限定,['実券'],TRUE,FALSE,ended,終了,,,700,350,350,大人：700円 小人：350円,１日,1,2024年9月14日〜2024年10月14日,2024年9月14日〜2024年10月14日,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/matuden.gif'],,['イベント公式LINEアカウント に友達登録後、送られてくるアンケートに回答後、クーポンが発行され、そのクーポンの提示を係員に提示して購入。'],1,"松本バスターミナル,新村,波田,新島々",アルピコ交通新島々駅 TEL:0263-87-3166,,https://www.alpico.co.jp/topics/train/-20249141014.php,"[{'text': 'アルピコ交通', 'url': 'https://www.alpico.co.jp/topics/train/-20249141014.php'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/matuden94.htm,matuden94.htm,34,2026-08-10 01:30:50.424840+00:00,上高地線 謎解きイベント専用きっぷ,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/matuden94.htm
titetu01,鉄道線・市内電車２日フリーきっぷ,富山地方鉄道,['富山地方鉄道'],1,FALSE,hokusinetu,北信越,北信越,['北信越'],tunen,通年発売タイプ,全年发售,['実券'],TRUE,FALSE,on_sale,発売中,,,6000,3000,3000,"大人：6,000円／小人：3,000円",２日,2,通年,通年,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/titetu01.gif'],,['座席指定を利用の際は座席指定料金が必要'],1,"有人駅 
 富山乗車券センター,西町乗車券センター 
 
ＡＮＡクラウンプラザホテル富山 
 
ホテルＪＡＬシティ富山",富山地方鉄道 TEL:0764-32-3456,,http://www.chitetsu.co.jp/?p=1073,"[{'text': '富山地方鉄道', 'url': 'http://www.chitetsu.co.jp/?p=1073'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/titetu01.htm,titetu01.htm,35,2026-08-10 01:30:50.424840+00:00,鉄道線・市内電車２日フリーきっぷ,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/titetu01.htm
titetu05,鉄道線・市内電車１日フリーきっぷ,富山地方鉄道,['富山地方鉄道'],1,FALSE,hokusinetu,北信越,北信越,['北信越'],tunen,通年発売タイプ,全年发售,['実券' 'デジタル'],TRUE,TRUE,on_sale,発売中,,,3400,1700,1700,"大人：3,400円／小人：1,700円",１日,1,通年,通年,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/titetu01.gif'],,['座席指定を利用の際は座席指定料金が必要'],1,"有人駅 
 富山乗車券センター,西町乗車券センター 
 
ＡＮＡクラウンプラザホテル富山 
 
ホテルＪＡＬシティ富山 
 
 my route",富山地方鉄道 TEL:0764-32-3456,,https://www.chitetsu.co.jp/?p=20987,"[{'text': '富山地方鉄道', 'url': 'https://www.chitetsu.co.jp/?p=20987'}
 {'text': 'my route', 'url': 'https://top.myroute.fun/ticket/toyama#toyamawide'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/titetu05.htm,titetu05.htm,36,2026-08-10 01:30:50.424840+00:00,鉄道線・市内電車１日フリーきっぷ,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/titetu05.htm
titetu02,市内電車・バス１日ふりーきっぷ,富山地方鉄道,['富山地方鉄道'],1,FALSE,hokusinetu,北信越,北信越,['北信越'],tunen,通年発売タイプ,全年发售,['実券' 'デジタル'],TRUE,TRUE,on_sale,発売中,,,650,330,330,大人：650円／小人：330円,１日間,1,通年,通年,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/titetu02.gif'],,[],0,"富山地鉄乗車券センター,富山地鉄西町乗車券センター 
 
電鉄富山,稲荷町,南富山 
 
富山駅前地鉄バス案内所,富山自動車営業所 
 
市内電車内 
 my route tabiwa",富山地方鉄道・地鉄テレホンセンター：076-432-3456,,http://www.chitetsu.co.jp/?p=1002,"[{'text': '富山地方鉄道', 'url': 'http://www.chitetsu.co.jp/?p=1002'}
 {'text': 'my route', 'url': 'https://top.myroute.fun/ticket/toyama#toyamawide'}
 {'text': 'tabiwa', 'url': 'https://app.tabi-wester.westjr.co.jp/eticketDetails?ticket_id=N3005600'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/titetu02.htm,titetu02.htm,37,2026-08-10 01:30:50.424840+00:00,市内電車・バス１日ふりーきっぷ,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/titetu02.htm
titetu09,ぐるっとグルメぐりクーポン,富山地方鉄道,['富山地方鉄道'],1,FALSE,hokusinetu,北信越,北信越,['北信越'],tunen,通年発売タイプ,全年发售,['実券'],TRUE,FALSE,on_sale,発売中,,,1000,,1000,"クーポン5枚付き 大人：1,500円 
 クーポン2枚付き 大人：1,000円",１日間,1,通年,通年,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/titetu09.gif'],,[],0,"富山乗車券センター,西町乗車券センター 
 電鉄富山駅,南富山駅 
 とやま観光案内所（富山駅構内クラルテ１Ｆ） 
 路面電車等公共交通案内所",富山地方鉄道・地鉄テレホンセンター：076-432-3456,,https://www.chitetsu.co.jp/?p=17407,"[{'text': '富山地方鉄道', 'url': 'https://www.chitetsu.co.jp/?p=17407'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/titetu09.htm,titetu09.htm,38,2026-08-10 01:30:50.424840+00:00,ぐるっとグルメぐりクーポン,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/titetu09.htm
titetu06,岩瀬おさんぽフリーチケット,富山地方鉄道,['富山地方鉄道'],1,FALSE,hokusinetu,北信越,北信越,['北信越'],tunen,通年発売タイプ,全年发售,['デジタル'],FALSE,TRUE,on_sale,発売中,,,1250,1030,1030,"大人：1,250円／小人：1,030円",利用開始後、6時間,,通年,通年,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/titetu06.gif'],,[],0,my route,富山地方鉄道・地鉄テレホンセンター：076-432-3456,,https://www.chitetsu.co.jp/ticket/,"[{'text': '富山地方鉄道', 'url': 'https://www.chitetsu.co.jp/ticket/'}
 {'text': 'my route', 'url': 'https://top.myroute.fun/ticket/toyama#iwase'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/titetu06.htm,titetu06.htm,39,2026-08-10 01:30:50.424840+00:00,岩瀬おさんぽフリーチケット,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/titetu06.htm
titetu07,富山市内まちなかおでかけチケット,富山地方鉄道,['富山地方鉄道'],1,FALSE,hokusinetu,北信越,北信越,['北信越'],tunen,通年発売タイプ,全年发售,['デジタル'],FALSE,TRUE,on_sale,発売中,,,950,700,700,大人：950円／小人：700円,利用開始後、8時間,,通年,通年,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/titetu07.gif'],,[],0,my route,富山地方鉄道・地鉄テレホンセンター：076-432-3456,,https://www.chitetsu.co.jp/ticket/,"[{'text': '富山地方鉄道', 'url': 'https://www.chitetsu.co.jp/ticket/'}
 {'text': 'my route', 'url': 'https://top.myroute.fun/ticket/toyama#pagetop'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/titetu07.htm,titetu07.htm,40,2026-08-10 01:30:50.424840+00:00,富山市内まちなかおでかけチケット,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/titetu07.htm
titetu08,富山空港まちなかフリーチケット,富山地方鉄道,['富山地方鉄道'],1,FALSE,hokusinetu,北信越,北信越,['北信越'],tunen,通年発売タイプ,全年发售,['デジタル'],FALSE,TRUE,on_sale,発売中,,,1500,980,980,"大人：1,500円／小人：980円",利用開始後、30時間,,通年,通年,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/titetu08.gif'],,[],0,my route,富山地方鉄道・地鉄テレホンセンター：076-432-3456,,https://www.chitetsu.co.jp/?p=63201,"[{'text': '富山地方鉄道', 'url': 'https://www.chitetsu.co.jp/?p=63201'}
 {'text': 'my route', 'url': 'https://top.myroute.fun/ticket/toyama#toyamaairport'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/titetu08.htm,titetu08.htm,41,2026-08-10 01:30:50.424840+00:00,富山空港まちなかフリーチケット,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/titetu08.htm
titetu93,宇奈月満喫きっぷ(全線版),富山地方鉄道,['富山地方鉄道'],1,FALSE,hokusinetu,北信越,北信越,['北信越'],tunen,通年発売タイプ,全年发售,['デジタル'],FALSE,TRUE,on_sale,発売中,,,4500,2700,2700,"大人：4,500円／小人：2,700円",利用開始後30時間,,通年,通年,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/titetu93.gif'],,[],0,my route,富山MYROTE推進協議会：076-444-4141,,https://www.chitetsu.co.jp/?p=64673,"[{'text': '富山地方鉄道', 'url': 'https://www.chitetsu.co.jp/?p=64673'}
 {'text': '富山MYROTE推進協議会', 'url': 'https://toyama-city.myroute.fun/info/653/'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/titetu93.htm,titetu93.htm,42,2026-08-10 01:30:50.424840+00:00,宇奈月満喫きっぷ(全線版),,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/titetu93.htm
titetu94,宇奈月満喫きっぷ(魚津・黒部版),富山地方鉄道,['富山地方鉄道'],1,FALSE,hokusinetu,北信越,北信越,['北信越'],tunen,通年発売タイプ,全年发售,['デジタル'],FALSE,TRUE,on_sale,発売中,,,3000,1950,1950,"大人：3,000円／小人：1,950円",利用開始後30時間,,通年,通年,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/titetu94.gif'],,['500円クーポン×2枚付き'],1,my route,富山MYROTE推進協議会：076-444-4141,,https://www.chitetsu.co.jp/?p=64673,"[{'text': '富山地方鉄道', 'url': 'https://www.chitetsu.co.jp/?p=64673'}
 {'text': '富山MYROTE推進協議会', 'url': 'https://toyama-city.myroute.fun/info/653/'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/titetu94.htm,titetu94.htm,43,2026-08-10 01:30:50.424840+00:00,宇奈月満喫きっぷ(魚津・黒部版),,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/titetu94.htm
titetu99,サマーワンコインきっぷ,富山地方鉄道,['富山地方鉄道'],1,FALSE,hokusinetu,北信越,北信越,['北信越'],kikan,期間限定タイプ,期间限定,['実券'],TRUE,FALSE,ended,終了,,,500,,500,大人：500円,1日間,1,2025年7月19日〜2025年8月31日,発売当日の9時〜15時台降車,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/titetu99.gif'],,['特急乗車の場合、特急券必要。 ' ' 購入時に、富山県内在住とわかるもの(免許証や保険証など)の提示が必要。'],2,"富山地方鉄道主要駅 
 富山地鉄乗車券センター 
 鉄道線列車内",富山地方鉄道・地鉄テレホンセンター：076-432-5540,,https://www.chitetsu.co.jp/?p=78374,"[{'text': '富山地方鉄道', 'url': 'https://www.chitetsu.co.jp/?p=78374'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/titetu99.htm,titetu99.htm,45,2026-08-10 01:30:50.424840+00:00,サマーワンコインきっぷ,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/titetu99.htm
titetu92,くろワンきっぷ,富山地方鉄道,['富山地方鉄道'],1,FALSE,hokusinetu,北信越,北信越,['北信越'],kisetu,季節発売タイプ,季节发售,['実券'],TRUE,FALSE,ended,終了,,,500,250,250,大人：500円 小人：250円,１日間,1,"2026年3月14日〜2024年4月26日 
 2025年9月13日〜2025年10月26日","2026年3月14日〜2024年4月26日の土休日 
 2025年9月14日〜2025年10月26日の土休日",,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/titetu92_2024s.gif'],,['区間外からの乗り越し精算等不可' '実施日に購入する時に黒部市在住あるいは黒部市へ通勤・通学していることを証明できるものを提示必要。'],2,"電鉄黒部,宇奈月温泉 
 くろワンきっぷ事務局 
 黒部市地域観光ギャラリー「観光案内所」 
 一部くろワンスタンプラリー加盟店","富山地方鉄道・地鉄テレホンセンター TEL:076-432-5540 
 くろワンきっぷ事務局 TEL:0765-56-9687",,http://www.kurowan.com/,"[{'text': '黒部まちづくり協議会', 'url': 'http://www.kurowan.com/'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/titetu92.htm,titetu92.htm,46,2026-08-10 01:30:50.424840+00:00,くろワンきっぷ,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/titetu92.htm
titetu90,プチパス,富山地方鉄道,['富山地方鉄道'],1,FALSE,hokusinetu,北信越,北信越,['北信越'],summer,夏限定タイプ,夏季限定,['実券'],TRUE,FALSE,ended,終了,,,,,3500,"高校生以上：8,000円 中学生：6,500円 小学生：3,500円",利用期間内の連続する14日間,14,2025年7月12日〜2025年8月31日,2025年7月19日〜2025年8月31日,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/titetu91.gif'],,"['高速バス(城端線含む),ぶりかにバス,フィーダーバス,コミュニティバス,富山市内周遊バス,その他特殊路線は利用不可。']",1,"富山地鉄乗車券センター,富山地鉄西町乗車券センター 
 
電車各駅(有人駅),各バス営業所 
 
委託売札所(加越能バス乗車券センター,(有)呉西トラベル)",富山地方鉄道・地鉄テレホンセンター：076-432-3456,,https://www.chitetsu.co.jp/?p=72634,"[{'text': '富山地方鉄道', 'url': 'https://www.chitetsu.co.jp/?p=72634'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/titetu90.htm,titetu90.htm,47,2026-08-10 01:30:50.424840+00:00,プチパス,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/titetu90.htm
titetu91,年末年始ふりーきっぷ,富山地方鉄道,['富山地方鉄道'],1,FALSE,hokusinetu,北信越,北信越,['北信越'],winter,年末年始限定タイプ,年末年初限定,['実券' 'デジタル'],TRUE,TRUE,ended,終了,,,2600,1300,1300,"大人：2,600円 小人：1,300円",７日間,7,2024年12月8日〜2025年1月9日,2023年12月20日〜2024年1月9日,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/titetu91.gif'],,['特急乗車の場合、特急券必要。'],1,"富山地方鉄道主要駅 
 富山地鉄乗車券センター 
 富山地鉄・西町乗車券センター,
富山地鉄案内所,各バス営業所,呉西トラベル,加越能バス乗車券センター 
 my route",富山地方鉄道・地鉄テレホンセンター：076-432-5540,,https://www.chitetsu.co.jp/?p=74873,"[{'text': '富山地方鉄道', 'url': 'https://www.chitetsu.co.jp/?p=74873'}
 {'text': 'my route', 'url': 'https://toyama-city.myroute.fun/info/1149/'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/titetu91.htm,titetu91.htm,48,2026-08-10 01:30:50.424840+00:00,年末年始ふりーきっぷ,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/titetu91.htm
kurobekyokoku01,乗り放題きっぷ(1DAY),黒部峡谷鉄道,['黒部峡谷鉄道'],1,FALSE,hokusinetu,北信越,北信越,['北信越'],kisetu,季節発売タイプ,季节发售,['実券'],TRUE,FALSE,ended,終了,,,4000,2000,2000,"タイプ 大人 小人 
 プレミアムタイプ 5,100円 3,100円 
 ベーシックタイプ 4,000円 2,000円",１日間,1,"当日限定 
 2023年5月10日〜2023年11月23日","2023年5月10日〜2023年11月23日 
 8月6日〜8月16日,10月22日〜10月23日,10月29日〜11月6日は除く",,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/kurobekyokoku.gif'],,['プレミアムタイプ：全ての客車に乗車可能 ' ' ベーシックタイプ：普通客車のみ乗車可能'],2,宇奈月駅,黒部峡谷鉄道 TEL:0765-62-1800,,https://www.kurotetu.co.jp/value_info/,"[{'text': '黒部峡谷鉄道', 'url': 'https://www.kurotetu.co.jp/value_info/'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/kurobekyokoku01.htm,kurobekyokoku01.htm,49,2026-08-10 01:30:50.424840+00:00,乗り放題きっぷ(1DAY),,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/kurobekyokoku01.htm
ainokaze01,１日フリーきっぷ,あいの風とやま鉄道,['あいの風とやま鉄道'],1,FALSE,hokusinetu,北信越,北信越,['北信越'],kikan,期間限定タイプ,期间限定,['実券' 'デジタル'],TRUE,TRUE,period,〜2027/3/28,,2027/3/28,1500,750,750,"大人：1,500円／小人：750円",１日間,1,2026年3月4日〜2027年3月28日,"2026年4月4日〜2027年3月28日の土休日 
 2026年4月30日〜2026年5月1日 
 2026年8月3日〜2026年8月14日 
 2026年12月21日〜2026年12月31日",,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/ainokaze.gif'],,['「あいの風ライナー」は別途ライナー券が必要'],1,"あいの風とやま鉄道有人駅 
 全国の近畿日本ツーリストグループ取扱各店 
 ビッグホリデー株式会社
 
 my route",あいの風とやま鉄道 TEL:,,https://ainokaze.co.jp/ticket/plan#s02,"[{'text': 'あいの風とやま鉄道', 'url': 'https://ainokaze.co.jp/ticket/plan#s02'}
 {'text': 'my route', 'url': 'https://top.myroute.fun/ticket/toyama#toyamawide'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/ainokaze01.htm,ainokaze01.htm,50,2026-08-10 01:30:50.424840+00:00,１日フリーきっぷ,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/ainokaze01.htm
irtoyama01,あいの風・IR１日フリーきっぷ,あいの風とやま鉄道,['あいの風とやま鉄道' 'IRいしかわ鉄道'],2,TRUE,hokusinetu,北信越,北信越,['北信越'],kikan,期間限定タイプ,期间限定,['実券' 'デジタル'],TRUE,TRUE,period,〜2027/3/28,,2027/3/28,2000,1000,1000,"大人：2,000円／小人：1,000円",１日,1,2026年3月4日〜2027年3月28日,"2026年4月4日〜2027年3月28日の土休日 
 2026年4月30日〜2026年5月1日 
 2026年8月3日〜2026年8月14日 
 2026年12月21日〜2026年12月31日",,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/irtoyama.gif'],,"['「あいの風ライナー」,金沢〜津幡間の特急列車を利用の際は、別途、ライナー券,特急券が必要']",1,"IRいしかわ鉄道： 
 金沢,津幡,松任,小松,加賀温泉 
 あいの風とやま鉄道： 
 石動,福岡,西高岡,高岡,越中大門,小杉,呉羽,富山,東富山,水橋,滑川,魚津,黒部,生地,入善,泊 
 my route",IRいしかわ鉄道 TEL:076-256-0560,,http://www.ishikawa-railway.jp/ticket/ticket_plan.html,"[{'text': 'IRいしかわ鉄道', 'url': 'http://www.ishikawa-railway.jp/ticket/ticket_plan.html'}
 {'text': 'あいの風とやま鉄道', 'url': 'https://ainokaze.co.jp/ticket/plan#s04'}
 {'text': 'my route', 'url': 'https://top.myroute.fun/ticket/toyama'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/irtoyama01.htm,irtoyama01.htm,51,2026-08-10 01:30:50.424840+00:00,IR・あいの風１日フリーきっぷ あいの風・IR１日フリーきっぷ,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/irtoyama01.htm
toyama111,とやま１日乗り放題きっぷ(中央エリア),あいの風とやま鉄道,['あいの風とやま鉄道'],1,FALSE,hokusinetu,北信越,北信越,['北信越'],kikan,期間限定タイプ,期间限定,['実券' 'デジタル'],TRUE,TRUE,period,2026/4/1  〜2027/3/28,2026/4/1,2027/3/28,1000,500,500,"大人：1,000円／小人：500円",１日,1,2026年4月1日〜2027年3月28日,2026年4月5日〜2027年3月28日の土日祝日,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/toyama111.gif'],,['「一万三千尺物語」、あいの風サイクルトレインは利用不可' '「あいの風ライナー」は、別途ライナー券300円が必要'],2,"あいの風とやま鉄道：高岡,越中大門,小杉,呉羽,富山 
 新高岡駅観光交流センター 
 my route",富山県交通政策局 交通戦略企画課 PHONE:0076-444-3124,,https://ainokaze.co.jp/ticket/plan#s03,"[{'text': 'あいの風とやま鉄道', 'url': 'https://ainokaze.co.jp/ticket/plan#s03'}
 {'text': '富山県', 'url': 'https://www.pref.toyama.jp/8000/kendodukuri/koukyou/koukyoukoutsuu/kj00060702.html'}
 {'text': 'my route', 'url': 'https://toyama-city.myroute.fun/info/967/'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/toyama111.htm,toyama111.htm,52,2026-08-10 01:30:50.424840+00:00,とやま１日乗り放題きっぷ（中央エリア）,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/toyama111.htm
